date,name,Average_Price
1995,Barking and Dagenham,51817
1995,Barnet,91792
1995,Bexley,64291
1995,Brent,73029
1995,Bromley,81966
1995,Camden,120366
1995,City of London,99084
1995,Croydon,68922
1995,Ealing,81218
1995,Enfield,71983
1995,Greenwich,63389
1995,Hackney,66023
1995,Hammersmith and Fulham,123237
1995,Haringey,80078
1995,Harrow,83518
1995,Havering,68280
1995,Hillingdon,73755
1995,Hounslow,72940
1995,Islington,95554
1995,Kensington and Chelsea,192856
1995,Kingston upon Thames,82838
1995,Lambeth,68105
1995,Lewisham,58881
1995,Merton,80500
1995,Newham,54573
1995,Redbridge,72580
1995,Richmond upon Thames,109891
1995,Southwark,64259
1995,Sutton,70290
1995,Tower Hamlets,63652
1995,Waltham Forest,61279
1995,Wandsworth,88828
1995,Westminster,133688
1996,Barking and Dagenham,51717
1996,Barnet,94000
1996,Bexley,65489
1996,Brent,75235
1996,Bromley,83547
1996,Camden,133809
1996,City of London,105650
1996,Croydon,69713
1996,Ealing,83389
1996,Enfield,74061
1996,Greenwich,65186
1996,Hackney,69247
1996,Hammersmith and Fulham,132044
1996,Haringey,84500
1996,Harrow,85926
1996,Havering,69347
1996,Hillingdon,75752
1996,Hounslow,73886
1996,Islington,97069
1996,Kensington and Chelsea,207156
1996,Kingston upon Thames,87017
1996,Lambeth,72443
1996,Lewisham,59886
1996,Merton,83998
1996,Newham,55746
1996,Redbridge,75358
1996,Richmond upon Thames,117307
1996,Southwark,70116
1996,Sutton,71651
1996,Tower Hamlets,70094
1996,Waltham Forest,62176
1996,Wandsworth,92269
1996,Westminster,139188
1997,Barking and Dagenham,55973
1997,Barnet,106882
1997,Bexley,70788
1997,Brent,86748
1997,Bromley,94224
1997,Camden,150142
1997,City of London,117113
1997,Croydon,77673
1997,Ealing,97805
1997,Enfield,83608
1997,Greenwich,72067
1997,Hackney,78176
1997,Hammersmith and Fulham,151722
1997,Haringey,95429
1997,Harrow,99482
1997,Havering,76215
1997,Hillingdon,85946
1997,Hounslow,84535
1997,Islington,115551
1997,Kensington and Chelsea,246655
1997,Kingston upon Thames,99856
1997,Lambeth,85903
1997,Lewisham,66150
1997,Merton,95698
1997,Newham,60970
1997,Redbridge,83371
1997,Richmond upon Thames,136655
1997,Southwark,79725
1997,Sutton,81093
1997,Tower Hamlets,85759
1997,Waltham Forest,68228
1997,Wandsworth,108107
1997,Westminster,165447
1998,Barking and Dagenham,60285
1998,Barnet,122359
1998,Bexley,80631
1998,Brent,100691
1998,Bromley,108286
1998,Camden,170688
1998,City of London,148031
1998,Croydon,88142
